"scenario","region","subRegion","sources","param","units","class","x","value"
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Bioenergy",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Coal",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Gas",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Geothermal",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Hydro",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Nuclear",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Oil",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Solar",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Wind",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Bioenergy",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Coal",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Gas",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Geothermal",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Hydro",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Nuclear",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Oil",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Solar",2010,0
"Local Data","Argentina","Argentina","Sources","elecAnnualRetPrematureGW","Premature Elec Retire (GW)","Wind",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Bioenergy",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Coal",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Gas",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Geothermal",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Hydro",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Nuclear",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Oil",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Solar",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapCost","New Elec Cap Cost (billion 2010 USD)","Wind",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Bioenergy",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Coal",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Gas",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Geothermal",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Hydro",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Nuclear",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Oil",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Solar",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumCapGW","New Elec Cap (GW)","Wind",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Bioenergy",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Coal",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Gas",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Geothermal",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Hydro",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Nuclear",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Oil",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Solar",2010,0
"Local Data","Argentina","Argentina","Sources","elecCumRetPrematureCost","Premature Elec Retire Cost (billion 2010 USD)","Wind",2010,0
