"units","param","class1","class2","xLabel","aggregate","classLabel1","classPalette1","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Bioenergy CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (Billion 2015 USD)","elecNewCapCost","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap (GW)","elecNewCapGW","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
