"scenario","region","subRegion","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2015,"Year","Vint_2015","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2015,0,0
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2020,"Year","Vint_2020","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2020,0.0507678247266592,0.0507678247266592
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2025,"Year","Vint_2025","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2025,0.34301880890901,0.34301880890901
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2030,"Year","Vint_2030","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2030,0.335846408531251,0.335846408531251
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2035,"Year","Vint_2035","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2035,0.34563887787583,0.34563887787583
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2040,"Year","Vint_2040","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2040,0.33784119404865,0.33784119404865
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2045,"Year","Vint_2045","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2045,0.331185099179614,0.331185099179614
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Bioenergy","class2",2050,"Year","Vint_2050","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2050,0.34606410685879,0.34606410685879
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Coal","class2",2015,"Year","Vint_2015","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2015,0,0
"Impacts","Argentina","Argentina","elecNewCapCost","Sources","Coal","class2",2020,"Year","Vint_2020","New Elec Cap Cost (Billion 2010 USD)","sum","Fuel","pal_metis","classLabel2","classPalette2","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2020,0.34641119720819,0.34641119720819
