"scenario","region","subRegion","param","sources","x","xLabel","vintage","units","aggregate","classPalette","origScen","origQuery","origUnits","origX","value"
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2015,"Year","Vint_2015","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2015,0
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2020,"Year","Vint_2020","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2020,-0.0962205560831483
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2025,"Year","Vint_2025","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2025,0
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2030,"Year","Vint_2030","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2030,-4.98132147741356e-06
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2035,"Year","Vint_2035","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2035,-6.06746915049478e-06
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2040,"Year","Vint_2040","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2040,-1.47756747101261e-06
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2045,"Year","Vint_2045","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2045,-0.0137352760103717
"Impacts","Argentina","Argentina","elecAnnualRetPrematureCost","Sources",2050,"Year","Vint_2050","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2050,-0.0134216897892847
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2015,"Year","Vint_2015","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2015,0
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2020,"Year","Vint_2020","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2020,-0.0501089789074836
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2025,"Year","Vint_2025","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2025,0
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2030,"Year","Vint_2030","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2030,-1.20398065511233e-06
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2035,"Year","Vint_2035","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2035,-1.649834245711e-06
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2040,"Year","Vint_2040","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2040,-4.60040498024254e-07
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2045,"Year","Vint_2045","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2045,-0.0196809603722259
"Impacts","Argentina","Argentina","elecAnnualRetPrematureGW","Sources",2050,"Year","Vint_2050","Premature Elec Retire (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2050,-0.0249184163719358
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2015,"Year","Vint_2015","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2015,0
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2020,"Year","Vint_2020","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2020,25.921537382109
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2025,"Year","Vint_2025","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2025,39.1008183699237
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2030,"Year","Vint_2030","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2030,55.1056188199378
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2035,"Year","Vint_2035","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2035,70.9460512912553
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2040,"Year","Vint_2040","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2040,88.1251062202708
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2045,"Year","Vint_2045","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2045,105.079812586873
"Impacts","Argentina","Argentina","elecCumCapCost","Sources",2050,"Year","Vint_2050","New Elec Cap Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2050,117.725316888321
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2015,"Year","Vint_2015","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2015,15.0099934251471
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2020,"Year","Vint_2020","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2020,18.8674655538153
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2025,"Year","Vint_2025","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2025,26.239764399103
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2030,"Year","Vint_2030","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2030,35.0623718133682
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2035,"Year","Vint_2035","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2035,43.837583668607
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2040,"Year","Vint_2040","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2040,53.3450566997986
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2045,"Year","Vint_2045","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2045,62.9113149884947
"Impacts","Argentina","Argentina","elecCumCapGW","Sources",2050,"Year","Vint_2050","New Elec Cap (GW)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","GW",2050,70.0877099346977
"Impacts","Argentina","Argentina","elecCumRetPrematureCost","Sources",2015,"Year","Vint_2015","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2015,0
"Impacts","Argentina","Argentina","elecCumRetPrematureCost","Sources",2020,"Year","Vint_2020","Premature Elec Retire Cost (billion 2010 USD)","sum","pal_metis","Impacts","elec gen by gen tech and cooling tech and vintage","billion 2010 USD",2020,-0.0962205560831483
