"units","param","class1","class2","xLabel","aggregate","classLabel1","classPalette1","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"Premature Elec Retire (GW)","elecAnnualRetPrematureGW","Gas CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Bioenergy","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Coal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Gas","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Geothermal","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Hydro","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Nuclear","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Oil","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Solar","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Wind","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","h Bioenergy w/CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
"New Elec Cap Cost (billion 2010 USD)","elecCumCapCost","Coal CCS","class2","Year","sum","Fuel","pal_metis","classLabel2","classPalette2"
